MENU;CODINT_0;FONCTION
;CONSSTCITM;Structure de coûts
;ACTLSPE;Contrôle cohérence spécifiques
;CONSSTCITP;Structure de coûts-art frs
;CREEVL;Révision de version
;EDIBAT;Batch EDI
;EDIBPRCPY;Flux EDI par tiers société
;EDIBPRPAR;Partenaires EDI par tiers
;EDICAT;Catégorie EDI
;EDICPYPAR;Partenaires EDI par société
;EDIFCYPAR;Partenaires EDI par site
;EDIFLO;Flux
;EDIIMP;Import
;ADSVAL;Validation dossiers
;EDILINK;Liens
;EDIMSG;Paramétrage messages EDI
;EDIPARTNER;Partenaire EDI
;EDIPTC;Protocole
;EDIPUR;Purge EDI
;EDIQRY;Requête paramétrage EDI
;EDIRUNISS;Lancement envois EDI
;EDIRUNREC;Lancement réceptions EDI
;EDISEQFIL;Fichier séquentiel
;EDISTO;Sas
;AECLIEXE;Exécution d'un traitement
;EDITRKDOC;Suivi des documents EDI
;EDIXMLFIL;Fichier XML
;EDIXSDUPL;Téléchargement fichier XSD EDI
;FUNMACA;Parc par adresse
;GESBOD;Nomenclatures
;GESBOL;Bon de transport
;GESBOS;Nomenclature sous-traitance
;GESBPD;Clients livrés
Requêtes suivi financier;GESBTQ;Requêtes suivi financier
Structure suivi financier;GESBTS;Structure suivi financier
;AECLIRDV;Eclipse
;GESCCM;Demande de changement
;GESCCMAUS;Further request details
;GESGAD;Pièces automatiques
;GESINDREF;Temps hors production
;GESITC2;Article-Coûts
;GESITP;Article-Fournisseur
Article-Vente;GESITS;Article-Vente
;GESITU;Article - Client
;GESNTS;Notes
Utilisateurs gestion affaire;GESPAUS;Utilisateurs gestion affaire
;AGENADO;Génération doc
;GESPBDECO;Code motif économique
;GESPFI;Eléments de facturation achats
Ligne d'imputation affaire;GESPIM;Ligne d'imputation affaire
;GESSEB;Info clients pour passerelle
;GESSFI;Eléments de facturation ventes
;GESSHFT;Code équipe
Conteneur fret;GESTCTR;Conteneur fret
;GESTMA;Collaborateurs
;GESTPC;Lieu de transit
;GESTPCT;Délai de transport
;AIMPCRYS;Impression
;GESXMA;Matricules
Opération d'ordre de fabricat;GESXMO;Opération d'ordre de fabricat
Temps validés ou non;GESXTPALL;Temps validés ou non
;GESXX1JMMOB;Moyens
Distribution;MDIS;Distribution
;PJMACTBUD;Budgets d'affaire
;PJMACTTAS;Tâches de  l'affaire
;PJMBUDTRQ;Requêtes suivi financier
;PJMBUDTRS;Structure suivi financier
;REQUET;Accès aux requêtes
;AIMPCRYSD;Impression directe
;SYRWRKPLN;Workflow
;TRACKTPL;Modèle suivi logistique
;VALEVL;Validation de version
;X4TVISUTPS;Gestion des temps
;ZEXPLOBSAD;Export LOB stock à date
;GESARY;Export Codes Impressions
;FASACT;Actualiser
;FASCLOTURB;Clôture période et exercice
;FASCNL;Suppression de bien
;FASDDE;Détacher dépenses d'un bien comptable
;FUNCMG3;Retours marketing
;AMOULIN4;Lancement procédures migration
;FASIML;Déprécier
;FASISR;Assurance
;FASISS;Sortie d'actif
;FASMTC;Changer de méthode
;FASNSP;Valeur marché
;FASRVA;Réévaluer
;FASSPE;Eclat. avec éléments physiques
;FASSPL;Eclater un bien comptable
;FASTRF;Transférer
;FASTRFC;Changer l'imputation comptable
;ANUPAS;Annulation mot de passe
;FASVEH;Véhicule
;FASVISPLN;Simulation plan amortissement
;GESDER;Plan dérogatoire
;GESGVD;Evénement détail
;GESMAS;Gestion table MFS
;GESMFS;Gestion table MFS
;GESMPY;Gestion table Elts
;GESPHY;Eléments physiques
;GESRC1;Recodification
;GESTSI;Détail transaction
;APTLOBJ;Appel objet X3 par le portail
;LOFECL;Eclater une dépense
;LOFLDAB;Immobilisation des dépenses
;MNTPVT;Maintenance événements
;UMAJFACT;Synchronisation taux de TVA
;ZBAREQ;Réimpression étiquettes EQ
Impression;RFIS;Impression
Paramétrage événements avancé;GESPVT;Paramétrage événements avancé
Déclaration française;DCLVATFRA;Déclaration de  TVA
Gestion des temps;X4TPS;Gestion des temps
Recette;VISUROUBOM;Recette
;APTLREQ;Demande du portail
Transactions saisie pièces;GESGDE;Transactions saisie pièces
Trésorerie;GESTFC;Fichier trésorerie
Déclaration honoraires;RFI5M;Impression/groupe/compta
Gestion des taxes;RFI6M;Impression/groupe/compta
France;MFRA;France
Autres;MOTH;Autres
Etats Unis;MUSA;Etats Unis
Réceptions;VXAPR;Réceptions
Matricules;GESXM2;Matricules
Validation globale des temps;X4TVALITPG;Validation globale des temps
;ASSOMAJ;MAJ utilisateurs annuaire
Validation des temps;X4TVALITPS;Validation des temps
Demandes de dérogation;GESXX1JDE;Demandes de dérogation
Histo patch;GESXX1JJHIS;Delivery historic
Prévisions conso client;GESXX1JJPC;Prévisions conso client
;AVISULIC;Visualisation licence
;AWRKCLASSIC;Workflow
;AWRKSIG;Signatures distantes
;BATCHEXP;Exports
;BATCHIMP;Imports
Transaction agenda act co;GESCRA;Transaction agenda act co
;CALALH;Calcul des requêtes
;CALALQ;Calcul des requêtes
;CONSAWW;Moniteur Workflow
;EXEFNC;Exécution d'une fonction
Tranches réservées;GESACD;Tranches réservées
Documentation spécifique;GESAD7;Documentation spécifique
Habilitation fonctionnelle;GESAF1;Habilitation fonctionnelle
Editeur de formules;GESAF9;Editeur de formules
Editeur de formules;GESAFE;Editeur de formules
Hiérarchies;GESAH2;Hiérarchies
Mot-clé d'aide;GESAMC2;Mot-clé d'aide
Question script d'appel;GESSCQ;Question script d'appel
Profil menu utilisateur;GESAPM;Profil menu utilisateur
Profil utilisateur GED;GESARU;Profil utilisateur GED
Entête messages;GESAS2;Entête messages
;GESAS3;Sous-programmes
;GESATD;Traductions messages
;GESAVL;Volumes
;GESAYO;Pools services web
Gammes - Opérations;GESZROO;Gammes - Opérations
;MENU;NULL
Processus Oracle;ORAPRO;Processus Oracle
;OMMEMA;Envoi mailing via E-Mail
Propriétés Oracle;ORAPROP;Propriétés Oracle
;ORASTA;Statistiques Oracle
;ORASTAB;Statistiques Oracle
Processus Sql Server;SQLPRO;Processus Sql Server
Propriétés Sql Server;SQLPROP;Propriétés Sql Server
Statistiques Sql Server;SQLSTA;Statistiques Sql Server
NULL;XX1JHVHAB;Validation des habilitations
NULL;ZEXPREQ;Export requête
Fournisseur expéditeur;GESBSL;Fournisseur expéditeur
Import ordres de ss-traitance;GESEOK;Import ordres de ss-traitance
;OMMFAX;Envoi mailing via Fax
Saisie des tarifs;GESPPF;Saisie des tarifs
Commandes ouvertes;MPORC;Commandes ouvertes
;SYRACHPPSI;Recherche tarifs
;ZCOLISAGE;Colisage
;ZMAJPAZ;Bon à payer
;CONSMCC;Parc client
;CONSMCN;Parc client
;FUNCONH;Couverture article contrats
;FUNCXT0;Statistiques demandes
;FUNCXT1;Statistiques sur compétences
;OMMMAI;Envoi mailing via courrier
;FUNDSC1;Dispatching
;FUNECE2;Statistiques sur escalades
;FUNHDK5;Statistiques queues
;FUNHDK6;Statistiques collaborateurs
;FUNITNH;Historique interventions
Exécution des escalades;FUNPEC2;Exécution des escalades
Historique des escalades;GESECE;Historique des escalades
Transac. agenda support client;GESHDA;Transac. agenda support client
;GESSET;Modèles de demande de service
;GESSSO;Solutions trouvées
Notifications de rejet;GESXX1JDR;Notifications de rejet
;CLOPER;Clôture périodes
;CONSXTP;Saisi des temps
;DCLVATBAT;Déclaration de  TVA
;GESBUD;Budgets
;GESCSL;Balance de consolidation
;GESRCR;Factures périodiques
;PAYPROPAL2;Proposition auto (abonnement)
;GESAONSQH;Documents Office par défaut
Commande vente;GESCRMSFS01;Commande vente
;GESLTA;Sage sales tax
Gestion quotas fournisseurs;GESXX1JQUO;Gestion quotas fournisseurs
Augmentation des tarifs;GESSND;Augmentation des tarifs
;GESSOI;Gestion des commandes ouvertes
Saisie des tarifs;GESSPF;Saisie des tarifs
;GESSPLPRT;Tarifs
Commandes ouvertes;MSORC;Commandes ouvertes
;SYRVENSPSI;Recherche tarifs
;CONSALL;Allocations
;CONSSCB;Résultats CBN / PDP
;CONSSHT;Allocations en rupture
;CONSSTR;Stock transféré
